id_clinics;name;address;web;phone;working hours;Y (lat);X (lon)
1;Санкт-петербургская горветстанция;ул.Колпинская д.6;http://www.spbvet.ru/structure/station/all/g-kolpino-ul-kolpinskaya-d-6;+7 (812) 461-57-64;9:00-21:00 Пн-Вс;59.75057878021126;30.619850496818234
2;ЮниВет;ул.Тазаева д3;https://vk.com/univet_kolpino;+7 (812) 679-94-84;10:00-20:00 Пн-Вс;59.741624930019924;30.608742186512647
3;ЛенОблВет;ул. Ижорского Батальона д. 13а;нет;79119579296;9:00-22:00 Пн-Вс;59.73669426122512;30.61762093083707
4;Манул;Павловская ул. 42А, 1 этаж;http://www.manulplus.ru/;88124695480;Круглосуточно;59.74819124741748;30.577536510427986
5;ГорВетЗдрав;Пролетарская ул. 60;https://www.gorvetzdrav.ru/;88122205020;Круглосуточно;59.741470266526775;30.566360338409087
6;Жизель;ул. Веры Слуцкой 89;zoogizel.ru;+7 (911) 773-93-13;10:00-20:00;59.733362;30.576810
7;Багира;ул. Павловская 82;нет;+7 (921) 985-71-08;10:00-20:00;59.747798;30.567987
